url,title,published_date,is_adverse,is_adverse_reason,risk_category,risk_explanation,risk_snippet,priority_level,confidence_score,has_fraud,has_litigation,has_insolvency,has_regulatory_action,author,keywords,source_query,is_subsidiary_parent_company,is_subsidiary_parent_company_reason,content_length,event_timeline
https://www.indiainfoline.com/news/companies/adani-enterprises-to-form-jv-with-mettube,Adani Enterprises to form JV with MetTube,2025-07-25,Positive,"The article reports on Adani Enterprises forming a joint venture with MetTube to expand in the copper tubes segment, which is a strategic growth initiative and expected to reduce India's reliance on imports. No negative or adverse events are mentioned.",Other,,,,0.0,False,False,False,False,India Infoline,"joint venture, copper tubes, MetTube, Adani Enterprises, manufacturing expansion, HVAC industry",Adani Enterprises Limited adverse news,False,"The article is focused solely on Adani Enterprises Limited and its direct business transaction, with no mention of parent company issues impacting the subsidiary.",45647,
https://www.livemint.com/market/stock-market-news/stocks-to-watch-adani-enterprises-iex-sun-pharma-rec-among-shares-in-focus-today-11753412024629.html,"Stocks to watch: Adani Enterprises, IEX, Sun Pharma, REC, among shares in focus today",2025-07-25,Neutral,"The article is a routine market update listing Adani Enterprises among several stocks in focus, mentioning a stake sale and acquisition but without any negative or positive sentiment or notable adverse event.",Other,,,,0.0,False,False,False,False,Ankit Gohel,"stock market, Adani Enterprises, stake sale, MetTube, market news",Adani Enterprises Limited adverse news,False,"The article is focused on Adani Enterprises and other companies individually, with no mention of parent company issues or interlinkage.",39916,
https://www.newkerala.com/news/o/adani-enterprises-join-hands-mettube-copper-tubes-business-413,Adani Enterprises Partners with MetTube for Copper Tubes Venture,2025-07-25,Positive,"The article describes a strategic partnership and expansion for Adani Enterprises, highlighting growth, investment, and alignment with national self-reliance goals. No negative or adverse events are reported.",Other,,,,0.0,False,False,False,False,ANI,"joint venture, copper tubes, manufacturing, MetTube, Adani Enterprises, expansion, Make in India",Adani Enterprises Limited adverse news,False,"The article is focused on Adani Enterprises Limited's direct business activities and partnership, with no indication of parent company (Adani Group) issues impacting the subsidiary.",13921,
https://tubepipeindia.com/adani-enterprises-partners/,Adani Enterprises Partners with MetTube to Boost India's Copper Tube ...,2025-07-25,Positive,"The article describes a strategic partnership and investment by Adani Enterprises to boost domestic copper tube manufacturing, reduce import dependence, and support India's infrastructure goals. There are no negative or adverse elements present.",Other,,,,0.0,False,False,False,False,Tube & Pipe India,"strategic partnership, copper tube manufacturing, joint venture, import substitution, infrastructure, Adani Enterprises, MetTube",Adani Enterprises Limited adverse news,False,"The article is focused on Adani Enterprises Limited's direct business partnership and investment activities, with no parent company (Adani Group) risk or impact discussed.",11732,
https://excelalgotrader.in/top-stocks-to-watch-today-sun-pharma-adani-enterprises-bhel-kajaria-ceramics-more/,"Top stocks to watch today: Sun Pharma, Adani Enterprises, BHEL, Kajaria ...",2025-07-25,Positive,"The article reports that Adani Enterprises Ltd is entering into a strategic partnership and business expansion with MetTube, which is a positive development for the company.",Other,,,,0.0,False,False,False,False,excelalgotrader.in,"business partnership, copper tubes, MetTube, manufacturing, Adani Enterprises, expansion",Adani Enterprises Limited adverse news,False,"The article discusses a business transaction involving Adani Enterprises Ltd (AEL) directly, with no indication of parent company (Adani Group) issues impacting the subsidiary.",4618,
https://globecapital.com/research-reports/daily-market-update-25th-july-2025/,India and the UK signed the CETA Free Trade Agreement- Daily Market ...,2025-07-25,Neutral,"The article reports that Adani Enterprises signed an agreement to divest 50% of its subsidiary Kutch Copper Tubes and acquire a 50% stake in MetTube Copper India, aiming to leverage combined expertise. There is no negative or positive tone, nor any indication of adverse events or risks.",Other,,,,0.0,False,False,False,False,Globe Capital Market Limited,"divestment, joint venture, copper business, Adani Enterprises, MetTube Mauritius, Kutch Copper Tubes, MetTube Copper India",Adani Enterprises Limited adverse news,False,"The article discusses a specific business transaction involving Adani Enterprises directly, with no mention of parent company issues impacting the subsidiary.",12812,
https://investopedia.co.in/adanis-%E2%82%B93-lakh-cr-copper-bet-hvac-boom-wealth-trigger,Adani Enterprises Share Price in Focus: Is the Met Tube Deal the Next ...,2025-07-25,Neutral,"The article is informational and analytical, describing a strategic joint venture by Adani Enterprises Ltd with MetTube for copper tube manufacturing. It notes a flat share price and cautious market reaction, but does not report any negative events, losses, or controversies. The tone is neutral to mildly positive, focusing on long-term potential rather than immediate risk or adverse impact.",Other,,,,0.0,False,False,False,False,investopedia.co.in editorial team,"joint venture, copper manufacturing, Adani Enterprises, MetTube, HVAC sector, infrastructure, share price",Adani Enterprises Limited adverse news,False,"The article is focused on Adani Enterprises Ltd and its direct joint venture with MetTube, with no parent company (Adani Group) risk transmission or impact discussed.",10799,
https://www.newsr.in/n/Front+Page/1zs6hzyevz/BIG-BLOW-to-Gautam-Adani-led-Adani-group.htm,"BIG BLOW to Gautam Adani led Adani group, super app 'Adani - newsR",2025-07-25,Negative,"The article reports the cancellation of a major digital initiative after significant investment, indicating a strategic and financial setback for Adani Enterprises Limited.",Strategic,"The shelving of the 'Adani One' super app project, after a significant investment of $100 million over three years, represents a failed strategic initiative and a substantial financial loss, which could negatively impact Adani Enterprises Limited's reputation and financial standing.","Adani Group has officially decided to shelf its super app, 'Adani One', which was launched in December 2022. It is modeled after China's 'WeCHAT' and India's 'Tata Neu', where Adani invested close to $100 million into the project for over three years.",Medium,0.85,False,False,False,False,newsR,"Adani One, super app, project shelved, strategic failure, financial loss, Adani Group, Adani Enterprises",Adani Enterprises Limited adverse news,True,"The article discusses a major project ('Adani One' super app) led by Adani Group, but such digital and consumer-facing initiatives are typically housed under Adani Enterprises Limited, the group's flagship and incubator for new businesses. The financial and reputational impact is likely to affect Adani Enterprises directly.",9743,2022-12 (launch) to 2025-07-25 (shelved)
https://trendlyne.com/latest-news/26/ADANIENT/adani-enterprises-ltd/,"Adani Enterprises Ltd. News, Corporate filings and Earnings ... - Trendlyne",2025-07-24,Neutral,"The article is a news aggregation page summarizing recent business developments, stake sales, joint ventures, and financial actions by Adani Enterprises Ltd. No adverse events, litigation, regulatory actions, or negative sentiment are present. The tone is informational, covering both positive (oversubscribed NCDs, new partnerships) and neutral (stake sales, exits) developments.",Other,,,,0.0,False,False,False,False,"Trendlyne (aggregated sources: Business Standard, NDTV Profit, Business Line, Economic Times, IBTimes India, BSE India)","stake sale, joint venture, copper tube manufacturing, AWL Agri Business exit, NCD issue, debt repayment, corporate actions",Adani Enterprises Limited adverse news,False,"The article is focused on Adani Enterprises Ltd. and its direct business actions, with no indication of parent company (Adani Group) issues impacting the subsidiary.",22562,
https://www.india.com/business/gautam-adani-cancels-plan-to-launch-super-app-adani-one-what-led-to-the-sudden-move-explained-7966059/,"Gautam Adani cancels plan to launch Super App, what led to the sudden ...",2025-07-24,Negative,"The article details the cancellation of a major digital initiative by Adani Enterprises Limited due to financial losses, internal disagreements, and management failures, resulting in leadership resignations and a strategic retreat from the digital sector.",Operational,"Adani Enterprises Limited, through its digital arm Adani Digital Labs, cancelled its ambitious 'Adani One' super app project due to financial losses, internal disagreements, and management issues, resulting in the resignation of key leadership and several employees. This represents a failed strategic initiative and signals operational and reputational risk.","the group’s digital unit was facing financial losses and internal disagreements. These issues led the company to drop the plan. The report also said that Nitin Sethi, the Chief Digital Officer who was in charge of the digital unit, resigned along with several other employees. This happened during an internal review related to poor management of the business.",Medium,0.9,False,False,False,False,Analiza Pathak,"Adani One, super app cancellation, digital strategy failure, leadership resignation, Adani Enterprises, operational risk",Adani Enterprises Limited adverse news,False,"The article specifically discusses Adani Enterprises Limited and its digital subsidiary's failed super app initiative, with no indication that the parent company's issues are the primary driver.",12388,"Resignations and project cancellation occurred in early 2025, following an internal review; app launched in December 2022, handled transactions through March 2024."
